ministry,sector,project_name,agency,sl_no,state,approval_date,start_date,target_doc,revised_doc,original_cost_cr,revised_cost_cr,cumulative_expenditure_cr,physical_progress_pct,cost_overrun_pct,report_month
Ministry of Railways,Railways,Nipania-Bhatapra 14.4 km 4th line PB72/NR/2022-23,(CAOC/SECR SECR mor),550,Chhattisgarh,12/2022,03/2023,03/2027,,170.49,170.49,12.12,3.0,0.0,2026-07
Ministry of Railways,Railways,Dallirajhra- Rowghat New Railway Line - Phase I [95 km],(Rail Vikas Nigam Limited),551,Chhattisgarh,07/2009,12/2009,09/2025,12/2025,1628.0,1628.0,1440.85,82.0,0.0,2026-07
Ministry of Railways,Railways,Gevra Road-Pendra Road New Railway Line [135 km],(Indian Railway Construction International Limited [IRCON]),552,Chhattisgarh,04/2014,04/2014,03/2022,12/2026,4970.0,7448.52,5327.55,83.36,49.869617706237435,2026-07
Ministry of Railways,Railways,Anand Vihar-Tilak Bridge - 3rd & 4th line 9.77 km,(CAOC/NR NR mor),556,Delhi,06/2012,04/2014,03/2023,12/2027,667.0,701.88,393.68,23.0,5.229385307346327,2026-07
Ministry of Railways,Railways,Sakri-Hasanpur 79 km,(CAO/Con/North/MHX ECR mor),534,Bihar,12/2023,04/2019,12/2024,03/2027,735.2,802.45,615.69,80.0,9.147170837867247,2026-07
Ministry of Railways,Railways,Samlaya-Timba Road 53.53 km,(CAOCWR WR mor),561,Gujarat,02/2023,05/2024,03/2030,03/2030,670.17,670.17,195.1,25.0,0.0,2026-07
Ministry of Railways,Railways,Samni-Jambusar 24.08 km,(CAOCWR WR mor),562,Gujarat,05/2022,04/2024,03/2030,03/2030,350.0,349.93,188.23,40.0,-0.01999999999999805,2026-07
Ministry of Railways,Railways,Western Railway- Samakhiali-Gandhidham Quadrupiling 53 km PB34/CR/2023-24,(CAOCWR WR mor),563,Gujarat,08/2023,04/2024,12/2026,12/2027,1430.0,1430.0,748.46,50.0,0.0,2026-07
Ministry of Railways,Railways,Barejadi Nandej Geratpur - Sanand - 4th line 38.20 km,(CAOCWR WR mor),564,Gujarat,02/2023,03/2024,03/2027,07/2028,961.67,961.67,548.14,23.0,0.0,2026-07
Ministry of Railways,Railways,Rampur Dumra-Tal-Rajendrapul - Addl bridge and doubling 14 km,(CGM/CIVIL ECR mor),544,Bihar,03/2016,04/2017,12/2024,12/2025,2373.64,2535.13,2028.18,95.0,6.803474831903753,2026-07
Ministry of Railways,Railways,Kosamba Umarpada GC PROJECT,(Ministry of Railways-),565,Gujarat,07/2023,07/2023,06/2027,,467.58,467.58,70.54,16.0,0.0,2026-07
Ministry of Railways,Railways,Miyagam-Karjan-Dabhoi-Samlaya 96.46 km- Gauge conversion with electrification,(CAOCWR WR mor),566,Gujarat,01/2017,06/2026,12/2026,12/2026,483.88,1015.07,816.25,34.0,109.77721749194016,2026-07
Ministry of Railways,Railways,New BG line between Naliya - Jakhau Port 24.88 Km,(CAOCWR WR mor),559,Gujarat,02/2023,11/2025,01/2028,02/2028,410.26,410.26,11.86,5.0,0.0,2026-07
Ministry of Railways,Railways,Petlad-Bhadran 22.5 km,(CAOCWR WR mor),560,Gujarat,05/2022,05/2024,05/2030,05/2030,307.11,307.12,114.73,32.0,0.0032561622871254293,2026-07
"Ministry of Ports, Shipping and Waterways",Inland Waterways,Kopparthy Industrial Area,(NICDC),487,Andhra Pradesh,08/2024,10/2025,10/2028,,2136.0,2136.0,39.75,5.39,0.0,2026-07
Ministry of Railways,Railways,Gadag - Wadi 252 km,(CAOC/SWR SWR mor),577,Karnataka,04/2013,08/2017,03/2027,12/2027,2842.0,3668.17,2252.04,35.0,29.070021111893034,2026-07
Ministry of Railways,Railways,Doubling between Parbhani-Parli Vaijnath stations 64.71 km PB34/CR/2023-24,(CAOCON/SCR SCR mor),594,Maharashtra,12/2023,05/2025,03/2028,,769.93,769.93,174.3,1.0,0.0,2026-07
Ministry of Railways,Railways,Gomoh - Flyover for down trains 20 km,(CAO/Con/South/MHX ECR mor),573,Jharkhand,01/2018,04/2022,03/2026,03/2026,686.0,686.03,531.63,65.0,0.00437317784256162,2026-07
Ministry of Railways,Railways,Lodhma-Piska - Link line bypassing Hatia / Ranchi with Y connection 17.2 km,(CAO/C/SER SER mor),574,Jharkhand,08/2021,11/2025,06/2026,05/2027,473.0,472.5,344.5,14.0,-0.10570824524312897,2026-07
Ministry of Railways,Railways,Pradhan Kuntha Jn Line Doubling Project,(East Central Railway [ECR] - I),575,Jharkhand,11/2022,11/2022,11/2027,11/2027,349.22,349.22,145.57,72.0,0.0,2026-07
Ministry of Railways,Railways,Construction of New BG line between Hassan to Belur [27 Km],(South Western Railway [SWR] - II),576,Karnataka,03/2019,12/2025,04/2028,03/2030,749.0,749.0,3.43,0.5,0.0,2026-07
Ministry of Railways,Railways,Kadur-Chickmagalur-Sakleshpur 93 km,(CAOC/SWR SWR mor),578,Karnataka,01/2014,06/2023,06/2025,12/2025,825.0,1043.15,790.72,83.0,26.442424242424256,2026-07
Ministry of Railways,Railways,Hubli-Ankola 167 km,(CAOC/SWR SWR mor),579,Karnataka,01/1999,08/2023,03/2005,03/2030,5174.0,533.32,186.31,10.0,-89.6923076923077,2026-07
Ministry of Railways,Railways,Aurangabad-Ankai 98.25 km,(CAOCON/SCR SCR mor),591,Maharashtra,05/2023,06/2024,12/2025,,960.64,960.64,381.13,0.0,0.0,2026-07
Ministry of Railways,Railways,Koderma-Barkakana Arigada 133 Km,(CAO/Con/South/MHX ECR mor),572,Jharkhand,06/2025,07/2026,12/2029,,2887.11,2887.11,0.85,0.0,0.0,2026-07
Ministry of Railways,Railways,Bagalkot-Kudachi 142 km,(CAOC/SWR SWR mor),580,Karnataka,02/2010,02/2025,03/2027,01/2027,1378.0,1710.44,797.37,35.0,24.12481857764877,2026-07
Ministry of Railways,Railways,Bangalore Suburban Railway Project,(Karnataka Rail Infrastructure Development Company Limited [K-RIDE]),584,Karnataka,10/2020,10/2020,12/2026,03/2030,15767.0,15767.0,3277.99,20.02,0.0,2026-07
Ministry of Railways,Railways,Kumbalam-Turavur - Patch doubling 15.59 km,(CAO/CN/ERS SR mor),585,Kerala,04/2023,10/2024,03/2027,03/2027,813.0,1171.46,395.03,30.0,44.0910209102091,2026-07
Ministry of Railways,Railways,Ernakulam-Kumbalam - Patch doubling 7.71 km,(CAO/CN/ERS SR mor),586,Kerala,04/2023,10/2024,03/2028,02/2027,601.0,827.5,312.63,25.0,37.68718801996672,2026-07
Ministry of Railways,Railways,Gwalior-Sheorpurkalan with extension to Kota 284 km,(CAO/C/NCR NCR mor),587,Madhya Pradesh,02/2010,04/2018,03/2025,02/2026,2913.0,3947.0,3068.75,91.0,35.49605217988328,2026-07
Ministry of Railways,Railways,Satna - Rewa 50 km,(CE/C-4/WCR WCR mor),588,Madhya Pradesh,11/2015,08/2016,03/2026,03/2026,500.0,646.1,618.19,88.0,29.220000000000006,2026-07
Ministry of Railways,Railways,Brundamal - Jharsuguda - Fly-over connection for joining down line 6.6 km,(CAO/C/ECOR ECoR mor),666,Odisha,01/2014,02/2024,12/2026,12/2026,297.0,296.51,46.39,55.0,-0.16498316498316803,2026-07
Ministry of Railways,Railways,Tumkur-Chitradurg-Davangere 199.7 km,(CAOC/SWR SWR mor),581,Karnataka,03/2011,11/2017,03/2019,12/2027,1876.0,1801.01,676.71,22.0,-3.9973347547974414,2026-07
Ministry of Railways,Railways,Bangalore-Whitefield-Bangalore City-Krishnarajapuram 23.08 km - Quadrupling,(CPM/GS/SBC SWR mor),582,Karnataka,03/2018,05/2022,02/2026,02/2026,493.0,717.54,459.94,70.0,45.54563894523326,2026-07
Ministry of Railways,Railways,New BG line intersection 5 nos between Geratpur-Sanand & Botad-Ahmedabad 16.51 km PB29/NR/2022-23,(CAOCWR WR mor),569,Gujarat,10/2022,03/2025,10/2027,10/2027,437.21,463.95,463.96,22.0,6.116054070126486,2026-07
Ministry of Railways,Railways,Nimach-Ratlam 133 km,(CAOCWR WR mor),590,Madhya Pradesh,10/2021,08/2022,10/2027,10/2027,1095.88,1770.58,1488.18,100.0,61.5669598861189,2026-07
Ministry of Railways,Railways,Nadiad-Petlad 37.26 km,(CAOCWR WR mor),568,Gujarat,05/2022,05/2024,06/2030,06/2030,461.91,461.91,142.21,30.0,0.0,2026-07
Ministry of Railways,Railways,Central Railway - Double chord line between Nilaje and Kopar 4.495 km PB34/CR/2023-24,(CAOC/CR CR mor),595,Maharashtra,07/2023,12/2024,07/2028,,338.33,205.0,57.54,15.0,-39.40827003221706,2026-07
Ministry of Railways,Railways,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],(CAOC/CR CR mor),596,Maharashtra,02/1997,04/2013,12/2026,03/2026,2538.67,5942.48,5054.69,93.0,134.07847416166732,2026-07
Ministry of Railways,Railways,Baramati - Lonand 54 km,(CAOC/CR CR mor),597,Maharashtra,02/1999,12/2003,03/2027,03/2027,138.48,1790.5,1132.25,60.0,1192.9664933564413,2026-07
Ministry of Railways,Railways,Wadsa-Gadchiroli 49.5 km,(CAOC/SECR SECR mor),598,Maharashtra,05/2017,11/2023,03/2027,03/2027,1886.0,1880.61,1015.46,69.0,-0.28579003181336693,2026-07
Ministry of Railways,Railways,Wardha - Yavatmal Nanded Railway Line Project,(Central Railways),599,Maharashtra,02/2008,04/2013,12/2026,,3445.34,4030.69,4053.03,47.0,16.989614958175387,2026-07
Ministry of Railways,Railways,Kalyan-Kasara - 3rd line 67.62 km,(CAOC/CR CR mor),600,Maharashtra,09/2015,09/2015,12/2026,12/2026,792.89,1395.5,1159.82,73.0,76.00171524423313,2026-07
Ministry of Railways,Railways,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,(Rail Land Development Authority),593,Maharashtra,04/2023,07/2023,03/2027,,1813.0,1813.0,873.99,25.0,0.0,2026-07
Ministry of Railways,Railways,Pachora-Jamner with extension upto Malkapur-Narrow gauge to broad gauge 84 km,(CAOC/CR CR mor),592,Maharashtra,08/2022,01/2026,08/2027,,955.39,2093.82,294.53,10.0,119.1586681878605,2026-07
Ministry of Railways,Railways,Wardha Sevagram-Nagpur - 3rd line 76.3 km,(CAOC/CR CR mor),601,Maharashtra,09/2015,10/2015,12/2025,10/2026,540.02,899.52,836.27,88.0,66.57160845894596,2026-07
Ministry of Railways,Railways,Wardha-Nagpur - 4th line 78.70 km,(CAOC/CR CR mor),604,Maharashtra,04/2017,06/2017,12/2025,10/2026,637.95,1194.59,1090.49,88.0,87.25448702876399,2026-07
Ministry of Railways,Railways,Jiribam-Imphal 110 km,(CAO/C-III/NFR NFR mor),607,Manipur,10/2003,04/2009,12/2026,06/2029,14323.0,21886.0,16931.5,78.0,52.80318369056762,2026-07
Ministry of Railways,Railways,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,(East Coast Railway [ECoR] - II),663,Odisha,08/2022,07/2022,03/2025,01/2025,168.32,168.32,69.85,82.0,0.0,2026-07
Ministry of Railways,Railways,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,(East Coast Railway [ECoR] - II),664,Odisha,08/2022,06/2022,12/2024,12/2026,210.0,210.0,41.17,53.0,0.0,2026-07
Ministry of Steel,Metals & Mining,Rebuilding of COB 4 at Durgapur Steel Plant,(Steel Authority of India Limited [SAIL]),518,West Bengal,09/2023,09/2023,09/2027,09/2027,916.78,916.78,244.78,37.19,0.0,2026-07
Ministry of Railways,Railways,Doubling of lines connecting the loading spurs in Talcher Yard.,(East Coast Railway [ECoR] - II),665,Odisha,09/2022,06/2022,12/2024,06/2027,186.21,186.21,105.07,88.0,0.0,2026-07
Ministry of Railways,Railways,Wardha-Balharshah - 3rd line 132 km,(CAOC/CR CR mor),602,Maharashtra,03/2016,05/2016,12/2025,02/2026,1384.72,2603.11,1894.7,86.0,87.98818533710786,2026-07
Ministry of Railways,Railways,Daund - Manmad 247.50 km,(CAOC/CR CR mor),603,Maharashtra,10/2017,11/2018,12/2025,03/2026,2081.27,3554.74,3191.56,95.0,70.79667702892945,2026-07
Ministry of Petroleum & Natural Gas,Energy Storage,CBR 9 MMTPA Project,(Chennai Petroleum Corporation Limited [CPCL]),417,Tamil Nadu,09/2021,09/2021,06/2025,,31580.0,36354.0,1615.38,10.2,15.117162761241293,2026-07
Ministry of Railways,Railways,Gunupur - Therubali new line 73.62 km,(CAO/C/ECOR ECoR mor),671,Odisha,08/2024,05/2026,12/2029,,1165.89,1165.73,1.95,0.0,-0.013723421592095466,2026-07
Ministry of Railways,Railways,Talcher-Bimlagarh 154 km,(CAO/C/ECOR ECoR mor),673,Odisha,03/2004,07/2008,03/2025,03/2029,1928.0,4546.84,2164.01,56.0,135.83195020746888,2026-07
Ministry of Railways,Railways,Koraput-Singapur Road 164.56 km,(CAO/C/ECOR ECoR mor),675,Odisha,12/2015,01/2016,12/2027,03/2028,2362.0,2462.17,2093.47,56.0,4.240897544453856,2026-07
Ministry of Railways,Railways,Jarapaada-Budhapank with flyover at Talcher Road - 3rd & 4th line 47 44 km,(CAO/C/ECOR ECoR mor),676,Odisha,11/2015,05/2016,11/2018,03/2028,1000.0,928.54,758.57,25.0,-7.1460000000000035,2026-07
Ministry of Railways,Railways,Budhapank-Salegaon via Rajatgarh - 3rd & 4th line 85 85 km,(CAO/C/ECOR ECoR mor),677,Odisha,12/2015,04/2016,03/2026,03/2026,1173.0,3034.8,2213.72,86.0,158.7212276214834,2026-07
Ministry of Railways,Railways,Jeypore - Navarangpur 38 km,(CAO/C/ECOR ECoR mor),678,Odisha,07/2017,09/2022,07/2028,12/2029,748.0,747.91,15.93,1.0,-0.012032085561501583,2026-07
Ministry of Railways,Railways,Jeypore - Malkangiri 130 km,(CAO/C/ECOR ECoR mor),679,Odisha,02/2018,04/2026,07/2033,07/2033,2344.0,2343.64,736.58,6.0,-0.01535836177474946,2026-07
Ministry of Railways,Railways,North Region Video Surveillance Project,(RCIL),680,PAN India,06/2020,04/2023,03/2024,,274.39,274.39,0.0,48.0,0.0,2026-07
Ministry of Railways,Railways,Railway Manufacturing Unit,(RVNL - II),697,Telangana,07/2016,02/2023,12/2026,03/2026,521.36,521.36,492.12,91.0,0.0,2026-07
Ministry of Railways,Railways,Nathdwara Mavli - Devgarh Madariya 82.542 km,(CAOC/NWR NWR mor),683,Rajasthan,01/2023,08/2023,06/2028,,968.92,1100.0,816.16,75.0,13.52846468232672,2026-07
Ministry of Railways,Railways,Pushkar - Merta Katyasani 51.346 km,(CAOC/NWR NWR mor),685,Rajasthan,02/2024,08/2024,12/2026,12/2028,799.64,799.64,242.08,7.0,0.0,2026-07
Ministry of Railways,Railways,SADULPUR - CHURU DOUBLING PROJECT,(North Western Railway [NWR]),687,Rajasthan,01/2024,01/2024,06/2026,,468.64,468.64,197.84,95.0,0.0,2026-07
Ministry of Railways,Railways,North Western Railway - New line between Ramdevra and Pokhran via Bhairav Gufa - Kailash Tekri 13.38 Km PB30/NR/2025-26,(CAOC/NWR NWR mor),688,Rajasthan,04/2025,05/2026,03/2028,,189.21,189.21,57.31,3.0,0.0,2026-07
Ministry of Railways,Railways,Agra Fort-Bandikui Doubling Line Project,(CAO/C/NCR),690,Rajasthan,06/2022,02/2021,06/2027,06/2027,1390.0,1390.0,529.92,56.0,0.0,2026-07
Ministry of Railways,Railways,Phase II extension of MRTS from Velachery to St Thomas Mount,(Ministry of Railways),693,Tamil Nadu,11/2007,11/2008,07/2025,09/2025,734.0,734.01,486.53,99.9,0.0013623978201622487,2026-07
Ministry of Railways,Railways,Redevelopment of Chennai Egmore Station,(Ministry of Railways),694,Tamil Nadu,05/2022,10/2022,03/2026,,842.0,842.0,340.0,0.0,0.0,2026-07
Ministry of Railways,Railways,Coach Production Factory Upgradation Project,(CPM/ICF),695,Tamil Nadu,12/2017,07/2018,12/2021,,520.0,520.0,192.25,0.0,0.0,2026-07
Ministry of Railways,Railways,Bhadrak-Nergundi - 3rd line 80 km,(CAO/C/ECOR ECoR mor),674,Odisha,03/2012,09/2016,11/2024,01/2026,1284.0,1600.0,1395.78,87.0,24.610591900311526,2026-07
Ministry of Railways,Railways,Madurai-Tuticorin via Aruppukkottai 143.5 km,(CAOC/SR SR mor),696,Tamil Nadu,04/2011,06/2016,07/2021,01/2031,601.43,2053.39,351.21,14.0,241.41795387659414,2026-07
Ministry of Railways,Railways,"Bahraich - Khalilabad via Bhinga, Shravasti, Balrampur, Utraula, Domriyaganj, Mehdawal, Bansi 240.26 km",(CAOC/NER NER mor),698,Uttar Pradesh,10/2018,01/2024,10/2030,10/2030,4939.78,4939.78,1671.24,15.0,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Two laning with paved shoulders of Lambasingi to Paderusection of NH 516E,(MoRTH),736,Andhra Pradesh,04/2020,11/2023,11/2025,03/2027,361.24,358.05,145.94,56.69,-0.883069427527405,2026-07
Ministry of Railways,Railways,Anand Nagar - Ghughuli via Maharajganj 53.37 km,(CAOC/NER NER mor),701,Uttar Pradesh,08/2023,01/2026,03/2028,,958.27,1501.1,888.5,12.0,56.64687405428532,2026-07
Ministry of Railways,Railways,Burhwal - Gonda - 3rd line 61.72 km,(CAOC/NER NER mor),703,Uttar Pradesh,11/2017,04/2020,03/2025,05/2026,1016.0,1307.62,777.21,100.0,28.7027559055118,2026-07
Ministry of Railways,Railways,Janghai - Pratapgarh - Amethi 87 km,(CAO/C-II/NR NR mor),704,Uttar Pradesh,11/2017,03/2019,03/2025,03/2026,722.0,1528.83,1216.52,80.0,111.74930747922436,2026-07
Ministry of Railways,Railways,Lalitpur - Birari with flyover at Lalitpur 15.80 km,(CAO/C/NCR NCR mor),705,Uttar Pradesh,03/2017,03/2023,12/2024,01/2026,304.44,356.1,287.11,85.0,16.968860859282625,2026-07
Ministry of Railways,Railways,Mughalsarai - Allahabad - 3rd line 150 km,(CAO/C/NCR NCR mor),706,Uttar Pradesh,08/2019,12/2020,12/2026,03/2027,2649.0,2649.44,2027.64,77.0,0.01661004152510587,2026-07
Ministry of Railways,Railways,Aligarh-Daud Khan - 3rd line 6.9 km & construction of flyover at Daud Khan,(CAO/C/NCR NCR mor),707,Uttar Pradesh,04/2019,02/2021,01/2025,03/2027,758.0,779.49,395.24,87.0,2.8350923482849613,2026-07
Ministry of Railways,Railways,Sahjanwa - Dohrighat 81.17 km,(CAOC/NER NER mor),699,Uttar Pradesh,08/2019,04/2025,03/2029,03/2029,1319.75,1319.75,728.08,1.0,0.0,2026-07
Ministry of Railways,Railways,Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions under WTA 527,(WPO/Patna),684,Rajasthan,09/2022,06/2023,12/2024,,166.86,166.86,0.0,0.0,0.0,2026-07
Ministry of Railways,Railways,Bhandai - Flyover for Etawah bound down trains 10 km,(CAO/C/NCR NCR mor),708,Uttar Pradesh,04/2019,12/2025,02/2026,02/2027,250.18,250.18,146.85,11.0,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to Akiveedu,(MoRTH),718,Andhra Pradesh,03/2020,11/2021,11/2023,05/2027,529.54,588.65,248.31,74.41,11.162518412206826,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km 248010 to km 269900 to 2,(MoRTH),719,Andhra Pradesh,03/2023,12/2024,12/2026,12/2026,292.63,292.63,0.0,95.77,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,(MoRTH),720,Andhra Pradesh,10/2024,09/2025,09/2027,09/2027,691.81,691.81,0.0,49.71,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K,(MoRTH),721,Andhra Pradesh,10/2024,07/2025,07/2027,07/2027,776.17,644.14,0.0,41.98,-17.010448741899324,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500 Km in the State of Andhra Pradesh on EPC mode Job no. 741,(MoRTH),726,Andhra Pradesh,10/2024,08/2025,08/2027,08/2027,1019.97,1019.97,0.0,33.55,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Kondamodu to Perecherla Section Design Ch. Km 000 to Km 49917 of NH-167AG to to 4LPS,(MoRTH),727,Andhra Pradesh,10/2024,04/2025,04/2027,04/2027,881.61,881.61,0.0,37.95,0.0,2026-07
Ministry of Railways,Railways,Bhatni - Aunrihar with electrification 125 km excl Indara - Mau 116.95 km,(CMD / RVNL RVNL mor),709,Uttar Pradesh,03/2018,11/2019,03/2024,06/2026,2529.0,2529.46,2295.3,94.0,0.01818900751285237,2026-07
Ministry of Railways,Railways,Barabanki-Malhaur - 3rd & 4th Line 32.84 km,(CAO/C-II/NR NR mor),710,Uttar Pradesh,01/2019,08/2022,03/2025,08/2026,407.0,480.13,444.11,77.0,17.968058968058966,2026-07
Ministry of Railways,Railways,Khurda Road-Bolangir 301 km,(CAO/C/ECOR ECoR mor),672,Odisha,03/1994,03/2001,12/2026,12/2026,3792.0,6221.98,4825.28,93.0,64.0817510548523,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Bangalore Chennai Expressway Phase-II Pkg-III from km.127.000 to Km 156.000 Bangarupalem to Gudipala section,(NHAI),741,Andhra Pradesh,11/2020,10/2022,10/2024,08/2026,1407.33,1407.33,868.62,99.46,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Renigunta - Poyya - Naidupeta km 124.60 to km 183.4 of NH 71,(NHAI),749,Andhra Pradesh,03/2020,01/2022,01/2024,09/2026,1863.09,2510.14,1677.19,98.6,34.729937898866936,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Development of 4L Road from Samarlakota to Achampeta Junction as part of Kakinada Port Connectivity to NH-16 Rajanagaram Junction in East Godavari District,(NHAI),763,Andhra Pradesh,09/2022,08/2023,08/2025,12/2026,645.63,750.2,680.09,93.0,16.196583182318054,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Dedicated Port road to Krishnapatnam Port Package-I from Km. 0.000 to Km. 18.000,(NHAI),764,Andhra Pradesh,03/2018,12/2018,12/2020,03/2027,348.72,341.36,310.54,80.19,-2.110575820142238,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Improvement of 4L road to 6L road and 4L dedicated Port Roads for the Port connectivity road from Convent junction to Sheelanagar Junction,(NHAI),766,Andhra Pradesh,01/2023,02/2024,02/2026,12/2026,685.99,680.21,493.92,79.0,-0.8425778801440215,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of NH- 13 from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -Balance Work,(NHIDCL),790,Arunachal Pradesh,08/2020,06/2025,12/2027,12/2027,353.9,353.9,26.82,19.57,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Construction of proposed 4Lane Revelgunj bypass NH-19 in the State of Bihar on EPC mode connecting NH 19 to 85 origin,(MoRTH),836,Bihar,03/2022,07/2023,07/2025,12/2026,295.24,295.24,44.18,88.65,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Widening & Strenthening from km132.895 to km 190.15 NH-80,(MoRTH),837,Bihar,03/2021,11/2022,11/2024,11/2026,566.1,566.1,293.89,73.21,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Gaya-Hisua-Rajgir-Nalanda-Biharsharif section km0.00 to 92.935 NH-82,(MoRTH),838,Bihar,01/2014,11/2016,11/2019,10/2026,1408.85,2138.16,0.0,97.0,51.766334244241754,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Construction of Major Bridge over Baghmati and Lakhandei River along with Approaches from Design km.16.500 to km.21.500,(NHAI),879,Bihar,02/2024,10/2024,04/2027,03/2028,498.97,380.3,57.23,26.84,-23.78299296550895,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Rehabilitation and Upgradation of Chorma - Bairgania Section of National Highway No 227F to 2 lane with paved shoulders from Design Ch.0.000 to Ch. 34.566,(NHAI),881,Bihar,06/2022,02/2024,01/2026,08/2026,610.78,628.65,337.4,100.0,2.9257670519663392,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Simaria Km. 206.050 to Khagaria Km. 266.282,(NHAI),866,Bihar,12/2015,10/2016,04/2019,10/2026,664.02,891.64,814.22,97.73,34.27908797927773,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Bakhtiyarpur-Rajauli Pkg-II from km. 54.405 to km.101.630,(NHAI),868,Bihar,09/2020,04/2021,07/2023,08/2026,897.45,1397.47,914.25,97.85,55.71563875424814,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Bakhtiyarpur-Rajauli Pkg-III from km. 101.630 to km.152.520,(NHAI),869,Bihar,09/2020,12/2021,06/2024,08/2026,2156.22,3046.61,1818.91,99.14,41.29402380091087,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Maheshkunt-Saharsa-Purnea Pkg I km 0.00 to km. 90.00 of NH-107,(NHAI),870,Bihar,02/2017,12/2019,12/2021,09/2026,662.44,1311.22,1126.22,90.07,97.93792645371656,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Maheshkunt -Saharsa-Purnea Pkg II,(NHAI),871,Bihar,03/2017,12/2018,12/2020,09/2026,1245.33,1244.09,1230.43,94.0,-0.09957200099572075,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Widening with additional 3L abetting Chhapra Bypass Section of NH-19 from Km. 143.200 to Km. 159.255 Pkg-1,(NHAI),872,Bihar,02/2024,08/2024,08/2026,10/2026,470.5,528.48,302.74,77.28,12.323060573857603,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Umagaon-Saharsa Package-IV Koshi Bridge & approach Road - Bheja-Bakaur,(NHAI),876,Bihar,02/2019,02/2020,08/2023,03/2027,1199.58,1223.94,1312.28,92.4,2.0307107487620777,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Improvement to two lane with paved shoulders of NH-319A from km 0 to km 45 in state of Bihar under EPC mode,(MoRTH),846,Bihar,02/2022,06/2023,12/2024,11/2026,427.29,427.29,198.23,93.0,0.0,2026-07
Ministry of Railways,Railways,"Varanasi- Pt. Deen Dayal Upadhyaya - Multitracking 15 km, including construction of a new Rail- cum- Road Bridge across Ganga River",(CAO/C-II/NR NR mor),700,Uttar Pradesh,10/2024,08/2025,10/2029,,2464.46,2464.46,109.93,5.0,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Bakhtiyarpur Km 153.300 to Mokama Km 197.900,(NHAI),882,Bihar,12/2015,06/2017,12/2019,08/2026,1898.84,1898.84,1799.23,99.95,0.0,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-26 Ch.696890 to Ch.726390,(NHAI),928,Gujarat,09/2020,12/2022,08/2024,02/2027,1555.2,1556.4,1288.32,85.5,0.07716049382716342,2026-07
Ministry of Road Transport & Highways,Roads & Highways,Construction of Approach Road to Rail-cum- Road Bridge across river Ganga at Munger Ghat NH-333 B,(NHAI),885,Bihar,07/2013,12/2018,05/2021,08/2026,537.88,633.91,573.97,99.99,17.85342455566297,2026-07
